source_id	locator	title	author	k_route	availability	evidence_path	duplicate_group
finance-0d40d37bcf3e	vault:processed/03_财务与会计/财务管控的底层逻辑：五流合一.md	财务管控的底层逻辑：五流合一		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0e5ce4a13ecf	vault:processed/03_财务与会计/wechat-a7ff9bb24e5a.md	基于SWITCH函数的动态财务分析		K2+K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0e8737f8890f	vault:processed/03_财务与会计/wechat-8ac01ecc4fb0.md	资产负债表通俗解析指南		K1+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0f258db57ddd	vault:processed/03_财务与会计/财务经营分析的“闭环”之道.md	财务经营分析的“闭环”之道		K3+K4+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-0fc0869110f2	vault:processed/03_财务与会计/wechat-782373b14a81.md	应收账款分析模型与模板			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1341ae6fbe8a	vault:processed/03_财务与会计/财务三大报表勾稽关系全解析.md	财务三大报表勾稽关系全解析		K1+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-134c4432f68b	vault:processed/03_财务与会计/wechat-6a67a6d5371b.md	如何通俗看懂财务三大报表		K1	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-141105c69583	vault:processed/03_财务与会计/wechat-a96afb65a484.md	六大数据分析模型助力业财一体化		K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-17a80d2d198a	vault:processed/03_财务与会计/wechat-f759e7515c2d.md	资产负债表分析：如何快速摸清企业家底？		K1+K3+K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-17f63708e96a	vault:processed/03_财务与会计/业财契约标准化阶段性总结.md	业财契约标准化阶段性总结		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-18ea5f0a75cc	vault:processed/03_财务与会计/2016-07-26 供应链金融与天网沟通.md	2016-07-26 供应链金融与天网沟通			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1b29eb1028e1	vault:processed/03_财务与会计/wechat-36fa2fc23699.md	非财务人员财务指标指南		K2+K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1bf2fbc5f32e	vault:processed/03_财务与会计/wechat-c44b50f07da5.md	企业资金与现金流分析报告		K1+K2	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1c42a987d7d3	vault:processed/03_财务与会计/wechat-db415158820c.md	利润表分析要点与行业差异解析		K1+K2+K3+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1d70b40e3408	vault:processed/03_财务与会计/wechat-be299c56ae5d.md	杜邦分析模型与财务管理核心逻辑		K1+K2+K3+K4+K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1dfd92a7dacc	vault:processed/03_财务与会计/财报分析框架.md	财报分析框架	7分钟投研（微信公众号）	K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1e12b4ec80d4	vault:processed/03_财务与会计/其中，对于“发生的是什么支出”，统一使用公司标准支出事项进行描述，对于“发生在哪里”，统一使用成本管.md	其中，对于“发生的是什么支出”，统一使用公司标准支出事项进行描述，对于“发生在哪里”，统一使用成本管		K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-1e9b19e211c6	vault:processed/03_财务与会计/wechat-b8653947e591.md	财务三大报表通俗解读指南		K1	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-20f6ee904291	vault:processed/03_财务与会计/1920992569882326656_财务工作台（第二版）：3周打造的可编辑财务管理系统.md	可编辑财务管理系统工作台介绍		K5+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-21e09288e5b5	vault:processed/03_财务与会计/wechat-53e816983f39.md	财务部门KPI设定指南		K3+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-229f26092c93	vault:processed/03_财务与会计/2025时代年度人物解析AI建筑师与MGX基金的全球布局.md	2025时代年度人物解析AI建筑师与MGX基金的全球布局			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-2303af016eae	vault:processed/03_财务与会计/3.8 财务COA标准不足.md	3.8 财务COA标准不足		K1+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-26524b55731a	vault:processed/03_财务与会计/掌握这些基本原理轻松读懂三大报表.md	掌握这些基本原理，轻松读懂三大报表	财资一家（节选自吴坚《财务分析：挖掘数字背后的商业价值》）	K1+K2	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-270db2db2d94	vault:processed/03_财务与会计/财务如何用Trae轻松搞定销售对账自动化？ _ AI学习圈.md	财务如何用Trae轻松搞定销售对账自动化？ | AI学习圈		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-29ce8598b06e	vault:processed/03_财务与会计/菜鸟CFO域财务产品架构与规划整理.md	菜鸟CFO域财务产品架构与规划整理		K6+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-2ab1e26bd55a	vault:processed/03_财务与会计/wechat-803e26a6c22a.md	财务BP向经营分析转型的七大思维		K1+K3+K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-2b80b9ae30cf	vault:processed/03_财务与会计/wechat-fd9f67a05308.md	金融行业数据分析指标体系与分析场景		K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-2d71c53c6a4a	vault:processed/03_财务与会计/三大财务报表的分析方法与关注要点解析.md	三大财务报表的分析方法与关注要点解析（超级干货）	天津科技大学教务处转载（原载：创新创业服务网）	K1+K2+K3+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-2d9e2066fc6a	vault:processed/03_财务与会计/wechat-fa7f6fb40512.md	从数据到决策的财务分析全流程		K3+K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-30336e892233	vault:processed/03_财务与会计/wechat-611f75aa5e59.md	资产负债表与利润表关系解析		K1+K2+K3+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3055692efc78	vault:processed/03_财务与会计/wechat-9ebeeebbf493.md	企业财务转型与BI数据分析实践		K2+K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-316765662cfb	vault:processed/03_财务与会计/wechat-f405ceae3e30.md	财务人员从核算到战略决策的转型指南		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-329b99a05902	vault:processed/03_财务与会计/wechat-60b834d21ba8.md	2025年应收账款分析模型		K2+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-33f3295707a2	vault:processed/03_财务与会计/财务如何用Trae轻松搞定销售对账自动化  AI学习圈.md	财务如何用Trae轻松搞定销售对账自动化  AI学习圈			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-33ff73f406be	vault:processed/03_财务与会计/1920986289566392448_财务BP能力升级：从解释数字到影响经营.md	财务BP能力升级与经营分析方法		K2+K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3442b4059b8d	vault:processed/03_财务与会计/wechat-2928e8a64ac6.md	财务年度工作报告经典模板		K2+K3+K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-345dcbecdb7f	vault:processed/03_财务与会计/1920047596548275272_申通快递：阿里深度整合中的老牌快递企业研报分析.md	申通快递：阿里整合与盈利分析		K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-35371030cd87	vault:processed/03_财务与会计/现金流分析-基础知识优势和步骤.md	现金流分析：基础知识、优势和步骤	Lisa Schwarz（NetSuite）	K1+K2+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-35abae0bdc1b	vault:processed/03_财务与会计/wechat-2f1854a73933.md	从车间到报表：成本核算全流程		K1+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-361610ed083a	vault:processed/03_财务与会计/wechat-ce699be1dd0e.md	财务BP转型与数据分析实战案例		K1+K2+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3797739199d2	vault:processed/03_财务与会计/wechat-266667d89e30.md	企业半年度财务工作总结模板		K3+K4+K6+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-37fca684f611	vault:processed/03_财务与会计/wechat-6b95019e8db6.md	财务分析报告编制思路与模板		K4+K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-38c5f4ede42e	vault:processed/03_财务与会计/wechat-937f0e2c34b7.md	财务进阶：从成本管控到价值创造		K1+K2+K3+K4+K5+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-392e7d598260	vault:processed/03_财务与会计/CFO Metrics 2025年6月运营指标数据报表_1.md	CFO Metrics 2025年6月运营指标数据报表		K6+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-39464a38f8fe	vault:processed/03_财务与会计/如何完善做账凭证背后的业务证据链.md	如何完善做账凭证背后的业务证据链		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3cb59733b796	vault:processed/03_财务与会计/wechat-2ccb4d17dfdc.md	帆软财务BI应用与数字化转型实践		K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3e3c929635c8	vault:processed/03_财务与会计/wechat-5ff24a7d70b8.md	有价值的财务分析三问法		K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3fc8958d705c	vault:processed/03_财务与会计/财务思维-如何分析企业的盈利能力营运能力偿债能力和增长能力.md	财务思维：如何分析企业的盈利能力、营运能力、偿债能力和增长能力？	CEO经营管理（微信公众号）	K1+K2+K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-3fe8c4d99990	vault:processed/03_财务与会计/现金流量表编制方法大揭秘.md	现金流量表编制方法大揭秘		K1+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-41cfb0ec78ab	vault:processed/03_财务与会计/wechat-1a510349920d.md	为什么现金流比净利润更重要		K1+K2+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-422c4147f5dd	vault:processed/03_财务与会计/wechat-39d2394e8fb4.md	净利润与现金流的逻辑关系解析		K1	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-43479b1ddb8f	vault:processed/03_财务与会计/wechat-2a029322f1b1.md	财务分析报告如何做到信雅达		K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4461ac52e8a7	vault:processed/03_财务与会计/2025年财务BP审批采购申请的要点分享.md	2025年财务BP审批采购申请的要点分享		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-453b449b0eff	vault:processed/03_财务与会计/经营活动现金流-公司真的挣到钱了吗.md	经营活动现金流：公司真的挣到钱了吗？	财资一家	K1+K2	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-479831191598	vault:processed/03_财务与会计/在过去菜鸟各种关于经营管理&业财一体等相关话题讨论.md	在过去菜鸟各种关于经营管理&业财一体等相关话题讨论		K1+K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-491c952b16b9	vault:processed/03_财务与会计/wechat-d07066916d24.md	业务人员也能看懂的财务指标体系		K1+K2+K3+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-49568f44a4b0	vault:processed/03_财务与会计/杜邦分析法-拆解企业盈利能力的财务显微镜.md	杜邦分析法：拆解企业盈利能力的'财务显微镜	ProcessOn知识社区	K2+K3+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4985bf1ae099	vault:processed/03_财务与会计/wechat-4242f268fb8b.md	财务应该具备的七个经营思维		K1+K3+K4+K5+K6+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-49a43c82a353	vault:processed/03_财务与会计/我认为站在低线视角，业财一体需要包含如下三个主要内涵：.md	我认为站在低线视角，业财一体需要包含如下三个主要内涵：		K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4a259d7e3614	vault:processed/03_财务与会计/wechat-a9d995f58b64.md	企业经营管理报表模板指南		K1+K3+K5+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4bb4075eab53	vault:processed/03_财务与会计/公司计税（本杰明）建设的思考和总结.md	公司计税（本杰明）建设的思考和总结		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4bb78510972b	vault:processed/03_财务与会计/wechat-d0fe3ca72857.md	企业财务分析报告通用结构模板		K3+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4dec5ca3129f	vault:processed/03_财务与会计/wechat-f3becb6d0573.md	企业现金流预测模型与资金规划指南		K1+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-4e1166fba850	vault:processed/03_财务与会计/1912202951523632448_毛利率深度分析：从指标拆解到经营决策——基于2026年5月企业数据.md	毛利率拆解与经营决策分析		K3+K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-50183421c528	vault:processed/03_财务与会计/wechat-e4f4c0381dc7.md	企业现金流预测模型与应用指南		K1+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-502331a0e4eb	vault:processed/03_财务与会计/wechat-c51dd50a4201.md	毛利率为何比净利率更重要		K2+K3+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-51df5666c604	vault:processed/03_财务与会计/1.1、产品定位：算钱、收钱、付钱、记账、分析.md	1.1、产品定位：算钱、收钱、付钱、记账、分析		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-52de1ce48246	vault:processed/03_财务与会计/wechat-e7d97f9604e9.md	财务尽职调查流程与审查要点		K1+K3+K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-535f9e96b3ee	vault:processed/03_财务与会计/wechat-11da99ed4ab3.md	财务能力分析看板搭建四大步骤		K2+K3+K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-5426fbaf099c	vault:processed/03_财务与会计/wechat-269eccfed421.md	非财务人员看懂三大报表核心问题		K1+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-5759c62f4c14	vault:processed/03_财务与会计/财务分析的32个公式.md	财务分析的32个公式	九数云BI	K2+K3+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-59c2fae8c9da	vault:processed/03_财务与会计/走进计收费（四）：价格篇.md	走进计收费（四）：价格篇			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-59ee15d4bf9a	vault:processed/03_财务与会计/wechat-b0e3f63ce430.md	财务报表预判经营业绩技巧		K1+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-5c1977f962b4	vault:processed/03_财务与会计/wechat-934b03a97827.md	毛利率与现金流经营分析指南		K1+K3+K4+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-5f7c82b4c906	vault:processed/03_财务与会计/财务共享服务中心.md	财务共享服务中心			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-5fc883189a98	vault:processed/03_财务与会计/菜鸟业财那些事儿科普主数据源头打标解决业财对账痛点.md	菜鸟业财那些事儿科普主数据源头打标解决业财对账痛点		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-6247848e2adf	vault:processed/03_财务与会计/wechat-92c967c8f978.md	财务BP数据分析报告实战解析		K1+K3+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-638eb1cf5c20	vault:processed/03_财务与会计/wechat-1b4654c50953.md	企业财务主要岗位职责清单		K1+K2+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-63e1a64c9c29	vault:processed/03_财务与会计/1913692147682175648_2026年上半年财务BP工作总结及下半年工作计划：以经营目标为导向，以数据分析推动业务改善.md	财务BP半年度经营分析与计划		K3+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-65313218eb85	vault:processed/03_财务与会计/管理人员应具备的财务思维.md	管理人员应具备的财务思维		K1+K2+K3+K4+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-655dfc07d3c7	vault:processed/03_财务与会计/wechat-008616225a7b.md	财务分析PPT标准框架与制作指南		K3+K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-65ac2b40fd4b	vault:processed/03_财务与会计/wechat-212d584c60a1.md	第一性原理在财务管理中的五个应用场景		K3+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-680da90985f2	vault:processed/03_财务与会计/wechat-6554c981a695.md	财务为企业创造价值的五种方式		K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-6823ec92b440	vault:processed/03_财务与会计/wechat-cd9c58812135.md	应收账款管理中财务部门的核心职责		K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-6824bfda77ce	vault:processed/03_财务与会计/客户余额调账类型及所需附件要求.md	客户余额调账类型及所需附件要求		K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-685fa6189ae3	vault:processed/03_财务与会计/wechat-bb10ce8e57eb.md	季度应收账款财务分析报告		K4+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-688533df47b0	vault:processed/03_财务与会计/wechat-ecf8bebbe8ce.md	盈利能力分析与指标深度拆解		K1+K2+K3+K4+K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-6ba21067f7c2	vault:processed/03_财务与会计/碧桂园服务集团票易通发票管理平台税号授权服务价格与付款约定.md	碧桂园服务集团票易通发票管理平台税号授权服务价格与付款约定		K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-6dcdafb8ba28	vault:processed/03_财务与会计/2025年4月28日：成本与费用的本质区别案例详解.md	2025年4月28日：成本与费用的本质区别案例详解		K1+K3+K5+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-703003cc36d9	vault:processed/03_财务与会计/wechat-f82761d2cfc3.md	应收账款：六大风险点与对策		K1+K4+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-70d46f9406b5	vault:processed/03_财务与会计/wechat-eac4289d52e7.md	财务三大报表勾稽关系解析		K1	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-70e704eadb92	vault:processed/03_财务与会计/菜鸟学账务之第一弹-账务会计是什么？.md	菜鸟学账务之第一弹-账务会计是什么？		K1	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7128a4918307	vault:processed/03_财务与会计/wechat-4496f6074a8a.md	现金流量表分析与实战指南		K1+K3+K4+K5+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-715b6e97a4b3	vault:processed/03_财务与会计/wechat-73b866fbe692.md	EBIT、EBITDA与净利润解析		K1+K2+K3+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-74123fcd7888	vault:processed/03_财务与会计/wechat-1210d65a6514.md	企业资金预测核心流程与方法		K4+K5+K6+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-74dbc06ca9ac	vault:processed/03_财务与会计/1909529946415734512_年报和季报（1）：A股公司业绩有何亮点？ _ 何刚·投资参考（年度日更）.md	笔记_---			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-76d52af80b69	vault:processed/03_财务与会计/会计利润、财务利润和管理利润的区别与联系.md	会计利润、财务利润和管理利润的区别与联系		K3+K4+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-776395942c09	vault:processed/03_财务与会计/wechat-51a23a583a5d.md	融资方案专业设计指南		K1+K3+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-79a85d683864	vault:processed/03_财务与会计/wechat-093698b24966.md	财务BP的三张底牌：能影响业务，才能走向管理岗		K3+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7b11159aa778	vault:processed/03_财务与会计/wechat-d5f4f31af311.md	企业利润核算与复盘七步法		K2+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7b73846314ed	vault:processed/03_财务与会计/wechat-81f4f1c4e62e.md	应收账款与存货风险控制		K1+K3+K4+K5+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7cf507489777	vault:processed/03_财务与会计/企业财务共享中心实现财务规范的关键要点.md	企业财务共享中心实现财务规范的关键要点		K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7e4508dcd247	vault:processed/03_财务与会计/FY26 核心规划介绍_1.md	FY26 核心规划介绍		K3+K5+K7+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7ec8b38ef28a	vault:processed/03_财务与会计/wechat-a494246f96a7.md	EBIT、EBITDA与净利润区别及应用		K2+K3+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7ed9b6f2dccf	vault:processed/03_财务与会计/得物汇金资损防控体系建设与实践研究报告.md	得物汇金资损防控体系建设与实践研究报告		K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7ee9a6c8a687	vault:processed/03_财务与会计/wechat-874e9a5cb13f.md	财务年终总结与工作计划		K2+K3+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7f3bb6ad870b	vault:processed/03_财务与会计/wechat-2cc109bebd94.md	应收账款分析模型与关键指标		K1+K3+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7f4eddb06ca8	vault:processed/03_财务与会计/wechat-69413358207d.md	财务高手是如何思考业务的		K1+K3+K4+K5+K6+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-7ffd7f9ef762	vault:processed/03_财务与会计/合并报表成本法编制的原理、思路与优势.md	合并报表成本法编制的原理、思路与优势		K1+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-807b1f266449	vault:processed/03_财务与会计/wechat-3e6b42d04fe7.md	集团财务总监经营驾驶舱		K2+K4+K5	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-82fb209930d1	vault:processed/03_财务与会计/1912593994337788024_数据熊盈亏平衡分析模型（高级版）深度解析：从利润测算到风险决策的闭环工具.md	盈亏平衡分析模型与财务决策工具解析		K4+K5+K6	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-83f14f924cca	vault:processed/03_财务与会计/wechat-e761e4f830ed.md	从运营到财务：业务活动如何影响财务指标		K4+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-840e889fec5e	vault:processed/03_财务与会计/wechat-24e2e3dc8389.md	精细化核算驱动高效经营分析		K3+K4+K5+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-84d46a4d3225	vault:processed/03_财务与会计/AE资金领域总结与思考.md	AE资金领域总结与思考		K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-850ea1aa7c96	vault:processed/03_财务与会计/wechat-f13faa9c1be4.md	财务分析报告撰写与汇报技巧		K2+K4	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-85b3e23c1101	vault:processed/03_财务与会计/如何写一份财务分析报告.md	如何写一份财务分析报告？	独孤信（知乎专栏，来源：克拉数据）	K1+K2+K3	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-872480ad61d9	vault:processed/03_财务与会计/wechat-fa4ee2077c96.md	财务分析报告撰写指南		K3+K4+K6+K7	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-873655ffbae0	vault:processed/03_财务与会计/AE税务合规平台演进.md	AE税务合规平台演进			locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
finance-8add6de263a4	vault:processed/03_财务与会计/1909531254232227568_科技板块领涨A股，我们如何把握机遇？ _ 何刚·投资参考（年度日更）.md	笔记_---		K3+K8	locator-only	synthesis/2026-09-12-obsidian-scan/A-finance.md	
