method	path	actual_side_effect	action	resource_loader	owner	exemption_reason
POST	/api/v1/metric-library/entries/{entry_id}/activate	database_update:metric_activation	metric.change.activate	blocked:metric_dictionary_entry_has_no_enterprise_or_trusted_proposer_binding	route-policy	request_operator_is_untrusted_and_self_approval_cannot_be_evaluated
POST	/api/v1/metric-library/entries/{entry_id}/retire	database_update:metric_retirement	metric.change.retire	blocked:metric_dictionary_entry_has_no_enterprise_or_trusted_proposer_binding	route-policy	request_operator_is_untrusted_and_self_approval_cannot_be_evaluated
GET	/api/v1/metric-library/events	database_read:unfiltered_global_metric_governance_events	metric.event.read	blocked:metric_governance_event_has_no_enterprise_scope	route-policy	-
POST	/api/v1/metric-library/entries/{entry_id}/impact	database_read_and_in_process_sandbox_analysis	metric.impact.analyze	blocked:metric_dictionary_entry_has_no_enterprise_scope	route-policy	post_method_is_read_only_but_not_an_exemption_from_authorization
POST	/api/v1/orchestration/batches/{batch_id}/build	database_write_and_compute:build_job_metric_snapshots_analysis_run	orchestration.build.start	load_batch_scope_or_deny_legacy	route-policy	-
GET	/api/v1/orchestration/batches/{batch_id}/builds	database_read:build_jobs	orchestration.build.read	load_batch_scope_or_deny_legacy	route-policy	-
GET	/api/v1/orchestration/builds/{job_id}	database_read:build_job	orchestration.build.read	load_build_job_batch_scope_or_deny_legacy	route-policy	-
GET	/api/v1/statements/{report_id}/objective-snapshot	database_write:idempotent_objective_snapshot_freeze_then_payload_read	objective_snapshot.read_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
POST	/api/v1/statements/{report_id}/objective-snapshot	database_write:idempotent_objective_snapshot_freeze	objective_snapshot.freeze	load_public_statement_report	publication-transaction	-
GET	/api/v1/statements/{report_id}/objective-snapshot/html	database_write:idempotent_objective_snapshot_freeze_and_in_process_html_render	objective_snapshot.render_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
GET	/api/v1/analysis/workbench/{report_id}	database_read:public_statement_derived_four_question_projection	workbench.report.read	load_public_statement_report	route-policy	public_statement_workbench_not_internal_enterprise_workspace
GET	/api/v1/operations/public-periods	static_public_operating_period_index_read	operations.public.read	load_public_operations_catalog	publication-transaction	anonymous_public_disclosure
GET	/api/v1/operations/public/{stock_code}/{period_label}	static_public_operating_fact_read_and_in_process_analysis	operations.public.read	load_public_operations_disclosure	publication-transaction	anonymous_public_disclosure
GET	/api/v1/operations/overview/{report_id}	database_read_and_in_process_public_operations_analysis	operations.overview.read	load_public_statement_report	publication-transaction	public_module_resource_not_enterprise_wildcard
GET	/api/v1/operations/snapshots	database_read:public_operations_snapshots	operations.snapshot.read	load_public_operations_snapshot_collection	publication-transaction	public_module_resource_not_enterprise_wildcard
POST	/api/v1/operations/overview/{report_id}/publish	database_write_freeze_render_object_store_write_and_database_publication_update	operations.report.publish	load_public_statement_report	publication-transaction	four_stage_serial_wiring_required
GET	/api/v1/operations/snapshots/{snapshot_id}/attempts	database_read:public_operations_publication_attempts	operations.attempt.read	load_public_operations_snapshot	publication-transaction	public_module_resource_not_enterprise_wildcard
POST	/api/v1/operations/overview/{report_id}/freeze	database_write:idempotent_public_operations_snapshot_freeze	operations.snapshot.freeze	load_public_statement_report	publication-transaction	-
GET	/api/v1/operations/overview/{report_id}/html	database_write:idempotent_snapshot_freeze_and_in_process_html_render	operations.render_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
GET	/api/v1/operations/overview/{report_id}/xlsx	database_write:idempotent_snapshot_freeze_and_in_process_xlsx_render	operations.render_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
GET	/api/v1/operations/overview/{report_id}/pptx	database_write:idempotent_snapshot_freeze_and_in_process_pptx_render	operations.render_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
GET	/api/v1/operations/overview/{report_id}/pdf	database_write:idempotent_snapshot_freeze_and_external_chromium_pdf_render	operations.render_and_freeze	load_public_statement_report	publication-transaction	hidden_write_get_must_not_use_read_only_exemption
